enginesize,curbweight,highwaympg,horsepower,carwidth,wheelbase,Y
130,2548,27,111,64.1,88.6,13495.0
130,2548,27,111,64.1,88.6,16500.0
152,2823,26,154,65.5,94.5,16500.0
109,2337,30,102,66.2,99.8,13950.0
136,2824,22,115,66.4,99.4,17450.0
136,2507,25,110,66.3,99.8,15250.0
136,2844,25,110,71.4,105.8,17710.0
136,2954,25,110,71.4,105.8,18920.0
131,3086,20,140,71.4,105.8,23875.0
131,3053,22,160,67.9,99.5,17859.167
108,2395,29,101,64.8,101.2,16430.0
108,2395,29,101,64.8,101.2,16925.0
164,2710,28,121,64.8,101.2,20970.0
164,2765,28,121,64.8,101.2,21105.0
164,3055,25,121,66.9,103.5,24565.0
209,3230,22,182,66.9,103.5,30760.0
209,3380,22,182,67.9,103.5,41315.0
209,3505,20,182,70.9,110.0,36880.0
61,1488,53,48,60.3,88.4,5151.0
90,1874,43,70,63.6,94.5,6295.0
90,1909,43,70,63.6,94.5,6575.0
90,1876,41,68,63.8,93.7,5572.0
90,1876,38,68,63.8,93.7,6377.0
98,2128,30,102,63.8,93.7,7957.0
90,1967,38,68,63.8,93.7,6229.0
90,1989,38,68,63.8,93.7,6692.0
90,1989,38,68,63.8,93.7,7609.0
98,2191,30,102,63.8,93.7,8558.0
122,2535,30,88,64.6,103.3,8921.0
156,2811,24,145,66.3,95.9,12964.0
92,1713,54,58,63.9,86.6,6479.0
92,1819,38,76,63.9,86.6,6855.0
79,1837,42,60,64.0,93.7,5399.0
92,1940,34,76,64.0,93.7,6529.0
92,1956,34,76,64.0,93.7,7129.0
92,2010,34,76,64.0,96.5,7295.0
92,2024,34,76,63.9,96.5,7295.0
110,2236,33,86,65.2,96.5,7895.0
110,2289,33,86,65.2,96.5,9095.0
110,2304,33,86,65.2,96.5,8845.0
110,2372,33,86,62.5,96.5,10295.0
110,2465,28,101,65.2,96.5,12945.0
110,2293,31,100,66.0,96.5,10345.0
111,2337,29,78,61.8,94.3,6785.0
90,1874,43,70,63.6,94.5,8916.5
90,1909,43,70,63.6,94.5,8916.5
119,2734,29,90,65.2,96.0,11048.0
258,4066,19,176,69.6,113.0,32250.0
258,4066,19,176,69.6,113.0,35550.0
326,3950,17,262,70.6,102.0,36000.0
91,1890,31,68,64.2,93.1,5195.0
91,1900,38,68,64.2,93.1,6095.0
91,1905,38,68,64.2,93.1,6795.0
91,1945,38,68,64.2,93.1,6695.0
91,1950,38,68,64.2,93.1,7395.0
70,2380,23,101,65.7,95.3,10945.0
70,2380,23,101,65.7,95.3,11845.0
70,2385,23,101,65.7,95.3,13645.0
80,2500,23,135,65.7,95.3,15645.0
122,2385,32,84,66.5,98.8,8845.0
122,2410,32,84,66.5,98.8,8495.0
122,2385,32,84,66.5,98.8,10595.0
122,2410,32,84,66.5,98.8,10245.0
122,2443,42,64,66.5,98.8,10795.0
122,2425,32,84,66.5,98.8,11245.0
140,2670,27,120,66.1,104.9,18280.0
134,2700,39,72,66.1,104.9,18344.0
183,3515,25,123,70.3,110.0,25552.0
183,3750,25,123,70.3,110.0,28248.0
183,3495,25,123,70.3,106.7,28176.0
183,3770,25,123,71.7,115.6,31600.0
234,3740,18,155,71.7,115.6,34184.0
234,3685,18,155,70.5,96.6,35056.0
308,3900,16,184,71.7,120.9,40960.0
304,3715,16,184,72.0,112.0,45400.0
140,2910,24,175,68.0,102.7,16503.0
92,1918,41,68,64.4,93.7,5389.0
92,1944,38,68,64.4,93.7,6189.0
92,2004,38,68,64.4,93.7,6669.0
98,2145,30,102,63.8,93.0,7689.0
110,2370,30,116,65.4,96.3,9959.0
122,2328,32,88,65.4,96.3,8499.0
156,2833,24,145,66.3,95.9,12629.0
156,2921,24,145,66.3,95.9,14869.0
156,2926,24,145,66.3,95.9,14489.0
122,2365,32,88,65.4,96.3,6989.0
122,2405,32,88,65.4,96.3,8189.0
110,2403,30,116,65.4,96.3,9279.0
110,2403,30,116,65.4,96.3,9279.0
97,1889,37,69,63.8,94.5,5499.0
103,2017,50,55,63.8,94.5,7099.0
97,1918,37,69,63.8,94.5,6649.0
97,1938,37,69,63.8,94.5,6849.0
97,2024,37,69,63.8,94.5,7349.0
97,1951,37,69,63.8,94.5,7299.0
97,2028,37,69,63.8,94.5,7799.0
97,1971,37,69,63.8,94.5,7499.0
97,2037,37,69,63.8,94.5,7999.0
97,2008,37,69,63.8,95.1,8249.0
120,2324,34,97,65.2,97.2,8949.0
120,2302,34,97,65.2,97.2,9549.0
181,3095,22,152,66.5,100.4,13499.0
181,3296,22,152,66.5,100.4,14399.0
181,3060,25,152,66.5,100.4,13499.0
181,3071,25,160,67.9,91.3,17199.0
181,3139,23,200,67.9,91.3,19699.0
181,3139,25,160,67.9,99.2,18399.0
120,3020,24,97,68.4,107.9,11900.0
152,3197,33,95,68.4,107.9,13200.0
120,3230,24,97,68.4,114.2,12440.0
152,3430,25,95,68.4,114.2,13860.0
120,3075,24,95,68.4,107.9,15580.0
152,3252,33,95,68.4,107.9,16900.0
120,3285,24,95,68.4,114.2,16695.0
152,3485,25,95,68.4,114.2,17075.0
120,3075,24,97,68.4,107.9,16630.0
152,3252,33,95,68.4,107.9,17950.0
134,3130,24,142,68.3,108.0,18150.0
90,1918,41,68,63.8,93.7,5572.0
98,2128,30,102,63.8,93.7,7957.0
90,1967,38,68,63.8,93.7,6229.0
90,1989,38,68,63.8,93.7,6692.0
98,2191,38,68,63.8,93.7,7609.0
122,2535,30,88,64.6,103.3,8921.0
156,2818,24,145,66.3,95.9,12764.0
151,2778,27,143,68.3,94.5,22018.0
194,2756,25,207,65.0,89.5,32528.0
194,2756,25,207,65.0,89.5,34028.0
194,2800,25,207,65.0,89.5,37028.0
203,3366,28,288,72.3,98.4,31400.5
132,2579,31,90,66.5,96.1,9295.0
132,2460,31,90,66.6,96.1,9895.0
121,2658,28,110,66.5,99.1,11850.0
121,2695,28,110,66.5,99.1,12170.0
121,2707,28,110,66.5,99.1,15040.0
121,2758,28,110,66.5,99.1,15510.0
121,2808,26,160,66.5,99.1,18150.0
121,2847,26,160,66.5,99.1,18620.0
97,2050,36,69,63.4,93.7,5118.0
108,2120,31,73,63.6,93.7,7053.0
